,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,J. Reitan-Sunde,18,Eliteserien 2024,"LWF, RWF",Rosenborg,Norway,0.23728813559322035,0.1864406779661017,0.13559322033898305,0.3389830508474576,0.4915254237288136,0.6271186440677966,0.559322033898305,0.5084745762711864,0.4322033898305085,0.7288135593220338,0.3050847457627119,0.3983050847457627,0.3898305084745763,0.7457627118644068,0.559322033898305,0.9661016949152542,0.9322033898305084,0.2033898305084746,0.7966101694915254,0.5932203389830508,0.5254237288135593,0.788135593220339,0.9661016949152542,0.15254237288135594,0.2966101694915254,0.576271186440678,0.4915254237288136,0.5084745762711864,0.3220338983050848,0.3389830508474576,0.5084745762711864,0.559322033898305,0.2966101694915254,0.5084745762711864,0.11864406779661017,0.5932203389830508,0.5084745762711864,0.5423728813559322,0.05084745762711865,0.5084745762711864,0.2627118644067797,0.288135593220339,0.847457627118644,0.17796610169491525,0.847457627118644,0.711864406779661,0.7796610169491526
1,F. Tewelde,18,Eliteserien 2024,"CF, LW, LWF",Odds,Norway,0.7033898305084746,0.576271186440678,0.3898305084745763,0.5084745762711864,0.288135593220339,0.1694915254237288,0.3559322033898305,0.4661016949152542,0.4322033898305085,0.15254237288135594,0.3050847457627119,0.3983050847457627,0.3559322033898305,0.711864406779661,0.6101694915254238,0.4915254237288136,0.6440677966101694,0.0847457627118644,0.7372881355932204,0.6186440677966102,0.9152542372881356,0.1271186440677966,0.5423728813559322,0.8813559322033898,0.559322033898305,0.1016949152542373,0.4915254237288136,0.5084745762711864,0.288135593220339,0.13559322033898305,0.5084745762711864,0.3559322033898305,0.559322033898305,0.5084745762711864,0.22033898305084745,0.3389830508474576,0.5084745762711864,0.1694915254237288,0.6779661016949152,0.864406779661017,0.559322033898305,0.3728813559322034,0.9830508474576272,0.5932203389830508,0.6610169491525424,0.3728813559322034,0.559322033898305
2,B. Bang-Kittilsen,19,Eliteserien 2024,"RWF, RW, LAMF",Odds,Norway,0.6610169491525424,0.4406779661016949,0.01694915254237288,0.8898305084745762,0.1016949152542373,0.23728813559322035,0.4406779661016949,0.03389830508474576,0.13559322033898305,0.15254237288135594,0.3050847457627119,0.3983050847457627,0.5932203389830508,0.13559322033898305,0.4576271186440678,0.7457627118644068,0.8813559322033898,0.3135593220338983,0.9830508474576272,0.9322033898305084,0.5847457627118644,0.4915254237288136,0.8305084745762712,0.288135593220339,0.3389830508474576,0.1016949152542373,0.4915254237288136,0.5084745762711864,0.423728813559322,0.7457627118644068,0.5084745762711864,0.4406779661016949,0.3389830508474576,0.5084745762711864,0.6610169491525424,0.4745762711864407,0.5084745762711864,0.2033898305084746,0.16101694915254236,0.06779661016949153,0.1271186440677966,0.9830508474576272,0.2457627118644068,0.6101694915254238,0.864406779661017,0.7966101694915254,0.2711864406779661
3,M. Broholm,19,Eliteserien 2024,"RWF, CF",Rosenborg,Norway,0.6016949152542372,0.2033898305084746,0.6440677966101694,0.3728813559322034,0.7457627118644068,0.864406779661017,0.9152542372881356,0.6101694915254238,0.6271186440677966,0.3220338983050847,0.788135593220339,0.9491525423728814,0.8983050847457628,0.9661016949152542,0.8813559322033898,0.288135593220339,0.6101694915254238,0.0847457627118644,0.5254237288135594,0.6440677966101696,0.6610169491525424,0.1271186440677966,0.3898305084745763,0.1016949152542373,0.7457627118644068,0.7203389830508474,0.4915254237288136,0.5084745762711864,0.06779661016949157,0.23728813559322035,0.5084745762711864,0.9152542372881356,0.7457627118644068,0.5084745762711864,0.5254237288135594,0.9152542372881356,0.5084745762711864,0.847457627118644,0.7966101694915254,0.6101694915254238,0.8135593220338984,0.6101694915254238,0.7966101694915254,0.05084745762711865,0.6610169491525424,0.06779661016949153,0.864406779661017
4,H. Mikaelsson,20,Eliteserien 2024,CF,Kristiansund,Iceland,0.0847457627118644,0.3389830508474576,0.864406779661017,0.1864406779661017,0.3644067796610169,0.4576271186440678,0.0847457627118644,0.3220338983050847,0.3135593220338983,0.15254237288135594,0.3050847457627119,0.3983050847457627,0.03389830508474576,0.4576271186440678,0.7966101694915254,0.2457627118644068,0.13559322033898305,0.5423728813559322,0.8813559322033898,0.31355932203389836,0.2542372881355932,0.7372881355932204,0.22033898305084745,0.864406779661017,0.3898305084745763,0.1016949152542373,0.4915254237288136,0.5084745762711864,0.788135593220339,0.5254237288135594,0.5084745762711864,0.0847457627118644,0.3898305084745763,0.5084745762711864,0.13559322033898305,0.06779661016949153,0.5084745762711864,0.4745762711864407,0.5084745762711864,0.3728813559322034,0.1271186440677966,0.3389830508474576,0.423728813559322,0.8813559322033898,0.4322033898305085,0.23728813559322035,0.2457627118644068
5,H. Meister,20,Eliteserien 2024,CF,Sarpsborg 08,Denmark,0.9152542372881356,0.847457627118644,0.1864406779661017,0.9152542372881356,0.847457627118644,0.6440677966101694,0.01694915254237288,0.05084745762711865,0.06779661016949153,0.15254237288135594,0.3050847457627119,0.3983050847457627,0.01694915254237288,0.423728813559322,0.0847457627118644,0.5932203389830508,0.4406779661016949,0.23728813559322035,0.2542372881355932,0,0.2542372881355932,0.9067796610169492,0.6101694915254238,0.6949152542372882,0.01694915254237288,0.1016949152542373,0.4915254237288136,0.5084745762711864,0.7457627118644068,0.9491525423728814,0.5084745762711864,0.01694915254237288,0.01694915254237288,0.5084745762711864,0.9661016949152542,0.05084745762711865,0.5084745762711864,0.7796610169491526,0.8135593220338984,0.2033898305084746,0.1271186440677966,0.8983050847457628,0.6864406779661016,0.8135593220338984,0.1694915254237288,0.864406779661017,0.1694915254237288
6,O. Sivertsen,20,Eliteserien 2024,"LWF, LW, RWF",Kristiansund,Norway,0.0423728813559322,0.05084745762711865,0.5423728813559322,0.423728813559322,0.03389830508474576,0.7457627118644068,0.7627118644067796,0.9491525423728814,0.9152542372881356,0.8728813559322034,0.8220338983050848,0.3983050847457627,0.9322033898305084,0.4915254237288136,0.576271186440678,0.5169491525423728,0.7457627118644068,0.5423728813559322,0.1864406779661017,0.6949152542372881,0.3220338983050848,0.2542372881355932,0.4915254237288136,0.3474576271186441,0.4576271186440678,0.8220338983050848,0.4915254237288136,0.5084745762711864,0.13559322033898302,0.03389830508474576,0.5084745762711864,0.7627118644067796,0.4576271186440678,0.5084745762711864,0.2711864406779661,0.6949152542372882,0.5084745762711864,0.3898305084745763,0.4915254237288136,0.7203389830508474,0.5084745762711864,0.423728813559322,0.3050847457627119,0.2033898305084746,0.06779661016949153,0.03389830508474576,0.9661016949152542
7,S. Ørjasæter,20,Eliteserien 2024,"LAMF, LWF",Sarpsborg 08,Norway,0.5169491525423728,0.23728813559322035,0.847457627118644,0.3050847457627119,0.711864406779661,0.711864406779661,0.8305084745762712,0.864406779661017,0.8728813559322034,0.788135593220339,0.8813559322033898,0.3983050847457627,0.8813559322033898,0.9830508474576272,0.9661016949152542,0.8898305084745762,0.7796610169491526,0.9491525423728814,0.6440677966101694,0.6694915254237288,0.18644067796610164,0.1271186440677966,0.7372881355932204,0.4152542372881356,0.6440677966101694,0.847457627118644,0.4915254237288136,0.5084745762711864,0.05084745762711862,0.423728813559322,0.5084745762711864,0.8305084745762712,0.6440677966101694,0.5084745762711864,0.4576271186440678,0.8305084745762712,0.5084745762711864,0.7288135593220338,0.7627118644067796,0.8135593220338984,0.7033898305084746,0.5932203389830508,0.9322033898305084,0.15254237288135594,0.576271186440678,0.13559322033898305,0.7627118644067796
8,N. Ødegård,20,Eliteserien 2024,"CF, LCMF3, RCMF3",Molde,Norway,0.4067796610169492,0.3898305084745763,0.7372881355932204,0.4067796610169492,0.3220338983050847,0.15254237288135594,0.4576271186440678,0.23728813559322035,0.3898305084745763,0.15254237288135594,0.3050847457627119,0.3983050847457627,0.559322033898305,0.3389830508474576,0.4067796610169492,0.7796610169491526,0.6779661016949152,0.8898305084745762,0.06779661016949153,0.44067796610169496,0.3813559322033898,0.4322033898305085,0.7627118644067796,0.5084745762711864,0.3559322033898305,0.1016949152542373,0.4915254237288136,0.5084745762711864,0.8135593220338984,0.1694915254237288,0.5084745762711864,0.4576271186440678,0.3559322033898305,0.5084745762711864,0.9491525423728814,0.5084745762711864,0.5084745762711864,0.15254237288135594,0.2542372881355932,0.9661016949152542,0.8728813559322034,0.7288135593220338,0.6610169491525424,0.9152542372881356,0.7372881355932204,0.4915254237288136,0.5254237288135594
9,H. Skogvold,20,Eliteserien 2024,"CF, LWF",Fredrikstad,Norway,0.1694915254237288,0.5084745762711864,0.9661016949152542,0.1016949152542373,0.576271186440678,0.4745762711864407,0.4745762711864407,0.2711864406779661,0.211864406779661,0.15254237288135594,0.3050847457627119,0.9491525423728814,0.423728813559322,0.6440677966101694,0.5423728813559322,0.4745762711864407,0.5254237288135594,0.652542372881356,0.6949152542372882,0.5,0.9152542372881356,0.6779661016949152,0.4745762711864407,0.8389830508474576,0.559322033898305,0.3898305084745763,0.4915254237288136,0.5084745762711864,0.3389830508474576,0.559322033898305,0.5084745762711864,0.4745762711864407,0.559322033898305,0.5084745762711864,0.3220338983050847,0.4406779661016949,0.5084745762711864,0.6440677966101694,0.3050847457627119,1,0.1271186440677966,0.2711864406779661,0.864406779661017,0.5254237288135594,0.11016949152542373,0.576271186440678,0.4915254237288136
