,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,K. Mainoo,19,Premier League 24-25,"LDMF, RDMF, RCMF",Manchester United,England,0.26851851851851855,0.05555555555555555,0.2222222222222222,0.25,0.25,0.4444444444444444,0.6111111111111112,0.35185185185185186,0.5833333333333334,0.2962962962962963,0.3611111111111111,0.4074074074074074,0.5740740740740741,0.3425925925925926,0.37037037037037035,0.9259259259259259,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.4722222222222222,0.05555555555555558,0.49074074074074076,0.8703703703703703,0.8796296296296297,0.8888888888888888,0.2222222222222222,0.4907407407407407,0.5092592592592593,0.12962962962962965,0.7222222222222222,0.5092592592592593,0.6111111111111112,0.8888888888888888,0.5092592592592593,1,0.6111111111111112,0.5092592592592593,0.6574074074074074,0.19444444444444445,0.06481481481481481,0.6666666666666666,0.9259259259259259,0.12037037037037036,0.5740740740740741,0.7407407407407407,0.037037037037037035,0.07407407407407407
1,A. Wharton,20,Premier League 24-25,RCMF,Crystal Palace,England,0.26851851851851855,0.2222222222222222,0.6111111111111112,0.25,0.09259259259259259,0.24074074074074073,0.7407407407407407,0.6666666666666666,0.7777777777777778,0.2962962962962963,0.8333333333333334,0.4074074074074074,1,0.21296296296296297,0.7962962962962963,0.8148148148148148,0.8703703703703703,1,0.9074074074074074,0.8703703703703703,0.9351851851851852,0.09259259259259259,0.5277777777777778,0.35185185185185186,0.3333333333333333,0.49074074074074076,0.4907407407407407,0.5092592592592593,0.6481481481481481,0.14814814814814814,0.5092592592592593,0.7407407407407407,0.3333333333333333,0.5092592592592593,0.6111111111111112,0.6296296296296297,0.5092592592592593,0.18518518518518517,0.5555555555555556,0.7129629629629629,0.9444444444444444,0.7592592592592593,0.12037037037037036,0.6296296296296297,0.8333333333333334,0.14814814814814814,0.6481481481481481
2,C. Baleba,20,Premier League 24-25,"RCMF, RDMF, LDMF",Brighton,Cameroon,0.7777777777777778,0.5185185185185185,0.12962962962962962,0.5833333333333334,0.14814814814814814,0.9259259259259259,0.5555555555555556,0.39814814814814814,0.28703703703703703,0.7037037037037037,0.3611111111111111,0.4074074074074074,0.3148148148148148,0.8518518518518519,0.6481481481481481,0.9814814814814815,0.9444444444444444,0.7777777777777778,0.7962962962962963,0.5,0.7962962962962963,0.8240740740740741,0.9814814814814815,0.6111111111111112,0.8425925925925926,0.49074074074074076,0.4907407407407407,0.5092592592592593,0.2592592592592593,0.6666666666666666,0.5092592592592593,0.5555555555555556,0.8425925925925926,0.5092592592592593,0.16666666666666666,0.3333333333333333,0.5092592592592593,0.9259259259259259,0.8703703703703703,0.8055555555555556,0.12962962962962962,0.24074074074074073,0.9259259259259259,0.8518518518518519,0.7037037037037037,0.2222222222222222,0.2222222222222222
3,O. Hutchinson,21,Premier League 24-25,"AMF, RAMF, RW",Ipswich Town,England,0.26851851851851855,0.4444444444444444,0.5370370370370371,0.25,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.4444444444444444,0.39814814814814814,0.6481481481481481,0.9351851851851852,0.4074074074074074,0.12962962962962962,0.9814814814814815,0.16666666666666666,0.037037037037037035,0.12962962962962962,0.5740740740740741,0.09259259259259259,0.7222222222222222,0.37962962962962965,0.3888888888888889,0.018518518518518517,0.19444444444444445,0.2962962962962963,0.8240740740740741,0.4907407407407407,0.5092592592592593,0,0.05555555555555555,0.5092592592592593,0.05555555555555555,0.2962962962962963,0.5092592592592593,0.05555555555555555,0.07407407407407407,0.5092592592592593,0.09259259259259259,0.5185185185185185,0.3888888888888889,0.5092592592592593,0.3425925925925926,0.8981481481481481,0.18518518518518517,0.5925925925925926,0.3425925925925926,0.9444444444444444
4,E. Anderson,21,Premier League 24-25,"AMF, LDMF, LAMF",Nottingham Forest,England,0.26851851851851855,0.8148148148148148,0.24074074074074073,0.25,0.8148148148148148,0.5462962962962963,0.35185185185185186,0.8703703703703703,0.8333333333333334,0.9814814814814815,0.3611111111111111,0.4074074074074074,0.7592592592592593,0.7222222222222222,0.24074074074074073,0.7037037037037037,0.6296296296296297,0.37037037037037035,0.18518518518518517,0.35185185185185186,0.20370370370370372,0.8240740740740741,0.7777777777777778,0.42592592592592593,0.7407407407407407,0.9074074074074074,0.4907407407407407,0.5092592592592593,0.07407407407407407,0.4074074074074074,0.5092592592592593,0.35185185185185186,0.7407407407407407,0.5092592592592593,0.7407407407407407,0.4444444444444444,0.5092592592592593,0.5185185185185185,0.8148148148148148,0.5185185185185185,0.12962962962962962,0.5925925925925926,0.6018518518518519,0.7407407407407407,0.9814814814814815,0.6296296296296297,0.6666666666666666
5,Y. Ayari,21,Premier League 24-25,"LCMF, RDMF, LW",Brighton,Sweden,0.26851851851851855,0.5740740740740741,0.5740740740740741,0.25,0.7407407407407407,0.16666666666666666,0.2037037037037037,0.7777777777777778,0.6666666666666666,0.2962962962962963,0.3611111111111111,0.4074074074074074,0.4444444444444444,0.37962962962962965,0.8518518518518519,0.6296296296296297,0.7592592592592593,0.8425925925925926,1,0.6851851851851851,0.712962962962963,0.35185185185185186,0.48148148148148145,0.37962962962962965,0.18518518518518517,0.2222222222222222,0.4907407407407407,0.5092592592592593,0.09259259259259256,0.4444444444444444,0.5092592592592593,0.2037037037037037,0.18518518518518517,0.5092592592592593,0.8333333333333334,0.2962962962962963,0.5092592592592593,0.12962962962962962,0.6851851851851852,0.2962962962962963,0.3611111111111111,0.5,0.12037037037037036,0.4444444444444444,0.8888888888888888,0.37037037037037035,0.7407407407407407
6,M. Rogers,22,Premier League 24-25,"AMF, CF, LW",Aston Villa,England,0.9444444444444444,0.9629629629629629,0.5,0.7777777777777778,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.6481481481481481,0.6666666666666666,0.7870370370370371,0.75,0.4074074074074074,0.09259259259259259,0.9629629629629629,0.09259259259259259,0.16666666666666666,0.14814814814814814,0.35185185185185186,0.5185185185185185,0.6666666666666667,0.6018518518518519,0.09259259259259259,0.19444444444444445,0.07407407407407407,0.9537037037037037,0.7962962962962963,0.4907407407407407,0.5092592592592593,0.05555555555555558,0.7037037037037037,0.5092592592592593,0.018518518518518517,0.9537037037037037,0.5092592592592593,0.6666666666666666,0.037037037037037035,0.5092592592592593,0.2222222222222222,0.8333333333333334,0.06481481481481481,0.4444444444444444,0.6481481481481481,0.9814814814814815,0.1111111111111111,0.5185185185185185,0.9444444444444444,0.2777777777777778
7,R. Gravenberch,22,Premier League 24-25,RDMF,Liverpool,Netherlands,0.26851851851851855,0.037037037037037035,0.7870370370370371,0.25,0.18518518518518517,0.6296296296296297,0.9259259259259259,0.12962962962962962,0.28703703703703703,0.2962962962962963,0.9074074074074074,0.4074074074074074,0.7037037037037037,0.8148148148148148,0.9814814814814815,0.9074074074074074,0.6851851851851852,0.6759259259259259,0.9814814814814815,0.5925925925925926,0.712962962962963,0.19444444444444445,0.9074074074074074,0.9351851851851852,0.4444444444444444,0.5185185185185185,0.4907407407407407,0.5092592592592593,0.33333333333333337,0.8703703703703703,0.5092592592592593,0.9259259259259259,0.4444444444444444,0.5092592592592593,0.5370370370370371,0.8703703703703703,0.5092592592592593,0.7592592592592593,0.07407407407407407,0.9629629629629629,0.7407407407407407,0.7870370370370371,0.8518518518518519,0.6851851851851852,0.8703703703703703,0.07407407407407407,0.1111111111111111
8,C. Palmer,22,Premier League 24-25,"AMF, CF, RAMF",Chelsea,England,1,0.9814814814814815,0.7592592592592593,1,0.7592592592592593,0.2962962962962963,0.18518518518518517,0.9444444444444444,1,1,0.3611111111111111,0.4074074074074074,0.6296296296296297,0.9074074074074074,0.7222222222222222,0.1111111111111111,0.037037037037037035,0.05555555555555555,0.75,0.962962962962963,0.4814814814814815,0.19444444444444445,0.12962962962962962,0.018518518518518517,0.42592592592592593,0.9444444444444444,0.4907407407407407,0.5092592592592593,0.14814814814814814,0.09259259259259259,0.5092592592592593,0.18518518518518517,0.42592592592592593,0.5092592592592593,0.24074074074074073,0.5,0.5092592592592593,0.24074074074074073,0.9814814814814815,0.6481481481481481,0.7962962962962963,0.8518518518518519,0.8981481481481481,0.018518518518518517,0.9259259259259259,0.7592592592592593,0.8148148148148148
9,João Gomes,23,Premier League 24-25,"LCMF, RDMF, RCMF",Wolverhampton Wanderers,Brazil,0.6296296296296297,0.3148148148148148,0.7222222222222222,0.8425925925925926,0.25,0.5185185185185185,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.2962962962962963,0.3611111111111111,0.4074074074074074,0.2777777777777778,0.7962962962962963,0.5740740740740741,0.25925925925925924,0.6111111111111112,0.42592592592592593,0.5,0.11111111111111116,0.2592592592592593,0.23148148148148148,0.25925925925925924,0.1574074074074074,0.1574074074074074,0.2222222222222222,0.4907407407407407,0.5092592592592593,0.38888888888888884,0.6851851851851852,0.5092592592592593,0.2777777777777778,0.1574074074074074,0.5092592592592593,0.46296296296296297,0.37037037037037035,0.5092592592592593,0.48148148148148145,0.19444444444444445,0.2222222222222222,0.4444444444444444,0.5185185185185185,0.12037037037037036,0.2037037037037037,0.32407407407407407,0.4444444444444444,0.6203703703703703
