,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,J. Reitan-Sunde,18,Eliteserien 2024,"LWF, RWF",Rosenborg,Norway,0.2608695652173913,0.391304347826087,0.13043478260869565,0.4782608695652174,0.5217391304347826,0.5652173913043478,0.2608695652173913,0.2608695652173913,0.2391304347826087,0.6304347826086957,0.2391304347826087,0.32608695652173914,0.13043478260869565,0.4782608695652174,0.34782608695652173,0.9565217391304348,0.9565217391304348,0.2608695652173913,0.7391304347826086,0.4782608695652174,0.6739130434782609,0.8695652173913043,1,0.30434782608695654,0.5434782608695652,0.391304347826087,0.4782608695652174,0.5217391304347826,0.6304347826086957,0.4782608695652174,0.5217391304347826,0.2608695652173913,0.5434782608695652,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.5217391304347826,0.4782608695652174,0.08695652173913043,0.4782608695652174,0.1956521739130435,0.34782608695652173,0.6521739130434783,0.43478260869565216,0.8260869565217391,0.9130434782608695,0.5652173913043478
1,T. Nyhammer,18,Eliteserien 2024,"RAMF, RW, AMF",Haugesund,Norway,0.2608695652173913,0.30434782608695654,0.391304347826087,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.7391304347826086,0.5652173913043478,0.17391304347826086,0.8043478260869565,0.6521739130434783,0.32608695652173914,0.782608695652174,0.21739130434782608,0.9130434782608695,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.2608695652173913,0.30434782608695654,0,0.08695652173913043,0.8695652173913043,0.2608695652173913,0.30434782608695654,0.7391304347826086,0.4782608695652174,0.5217391304347826,0.8260869565217391,0.30434782608695654,0.5217391304347826,0.7391304347826086,0.30434782608695654,0.5217391304347826,0.43478260869565216,0.782608695652174,0.5217391304347826,0.2608695652173913,0.9130434782608695,1,0.9130434782608695,0.043478260869565216,0.8695652173913043,0.13043478260869565,0.34782608695652173,0.17391304347826086,0.391304347826087
2,B. Bang-Kittilsen,19,Eliteserien 2024,"RWF, RW, LAMF",Odds,Norway,0.8260869565217391,0.782608695652174,0.043478260869565216,0.9565217391304348,0.21739130434782608,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.15217391304347827,0.2391304347826087,0.32608695652173914,0.5652173913043478,0.08695652173913043,0.21739130434782608,0.6956521739130435,0.782608695652174,0.45652173913043476,1,0.782608695652174,0.7391304347826086,0.5217391304347826,0.782608695652174,0.5,0.3695652173913043,0.10869565217391304,0.4782608695652174,0.5217391304347826,0.6956521739130435,0.8260869565217391,0.5217391304347826,0.17391304347826086,0.3695652173913043,0.5217391304347826,0.782608695652174,0.13043478260869565,0.5217391304347826,0.043478260869565216,0.2608695652173913,0.043478260869565216,0.06521739130434782,0.8478260869565217,0.13043478260869565,0.9130434782608695,0.782608695652174,0.782608695652174,0.13043478260869565
3,M. Broholm,19,Eliteserien 2024,RWF,Rosenborg,Norway,0.8695652173913043,0.6086956521739131,0.5652173913043478,0.5869565217391305,0.782608695652174,0.9130434782608695,0.9130434782608695,0.43478260869565216,0.5869565217391305,0.32608695652173914,0.782608695652174,0.8478260869565217,0.8260869565217391,0.9130434782608695,0.8260869565217391,0.17391304347826086,0.391304347826087,0.13043478260869565,0.34782608695652173,0.5652173913043479,0.8260869565217391,0.2826086956521739,0.21739130434782608,0.13043478260869565,0.782608695652174,0.5652173913043478,0.4782608695652174,0.5217391304347826,0.17391304347826086,0.43478260869565216,0.5217391304347826,0.9130434782608695,0.782608695652174,0.5217391304347826,0.6086956521739131,0.9130434782608695,0.5217391304347826,0.9565217391304348,1,0.6521739130434783,0.782608695652174,0.6956521739130435,0.6956521739130435,0.08695652173913043,0.5652173913043478,0.34782608695652173,0.7391304347826086
4,M. Sauer,20,Eliteserien 2024,"RAMF, RW",Haugesund,Denmark,0.17391304347826086,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.8260869565217391,0.30434782608695654,0.6086956521739131,0.3695652173913043,0.15217391304347827,0.2391304347826087,0.32608695652173914,0.30434782608695654,0.8695652173913043,0.4782608695652174,0.391304347826087,0.43478260869565216,0.45652173913043476,0.21739130434782608,0.7391304347826086,0.5217391304347826,0.9130434782608695,0.3695652173913043,0.21739130434782608,0.17391304347826086,0.10869565217391304,0.4782608695652174,0.5217391304347826,0.4347826086956522,0.391304347826087,0.5217391304347826,0.30434782608695654,0.17391304347826086,0.5217391304347826,0.08695652173913043,0.391304347826087,0.5217391304347826,0.8695652173913043,0.5217391304347826,0.8260869565217391,0.4782608695652174,0.2608695652173913,0.43478260869565216,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.6086956521739131
5,S. Innvær,20,Eliteserien 2024,"RAMF, RW, LW",Haugesund,Norway,0.2608695652173913,0.17391304347826086,0.8913043478260869,0.17391304347826086,0.17391304347826086,0.43478260869565216,0.5217391304347826,0.6521739130434783,0.2391304347826087,0.15217391304347827,0.2391304347826087,0.32608695652173914,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.6521739130434783,0.4782608695652174,0.13043478260869565,0.43478260869565216,0.9565217391304348,0.6739130434782609,1,0.8260869565217391,0.043478260869565216,0.08695652173913043,0.10869565217391304,0.4782608695652174,0.5217391304347826,0.3913043478260869,0.782608695652174,0.5217391304347826,0.5217391304347826,0.08695652173913043,0.5217391304347826,0.9565217391304348,0.4782608695652174,0.5217391304347826,0.43478260869565216,0.4782608695652174,0.13043478260869565,0.1956521739130435,0.13043478260869565,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.5217391304347826
6,O. Sivertsen,20,Eliteserien 2024,"LW, LWF, RWF",Kristiansund,Norway,0.08695652173913043,0.13043478260869565,0.4782608695652174,0.5217391304347826,0.043478260869565216,0.6739130434782609,0.6086956521739131,0.9130434782608695,0.8260869565217391,0.717391304347826,0.6086956521739131,0.32608695652173914,0.8695652173913043,0.2608695652173913,0.30434782608695654,0.43478260869565216,0.5217391304347826,0.5652173913043478,0.08695652173913043,0.4347826086956522,0.3913043478260869,0.2826086956521739,0.3695652173913043,0.5,0.4782608695652174,0.6521739130434783,0.4782608695652174,0.5217391304347826,0.30434782608695654,0.08695652173913043,0.5217391304347826,0.6086956521739131,0.4782608695652174,0.5217391304347826,0.34782608695652173,0.43478260869565216,0.5217391304347826,0.21739130434782608,0.43478260869565216,0.6956521739130435,0.41304347826086957,0.391304347826087,0.21739130434782608,0.34782608695652173,0.08695652173913043,0.08695652173913043,0.9565217391304348
7,S. Ørjasæter,21,Eliteserien 2024,LAMF,Sarpsborg 08,Norway,0.6521739130434783,0.43478260869565216,0.782608695652174,0.391304347826087,0.6304347826086957,0.6739130434782609,0.782608695652174,0.782608695652174,0.7608695652173914,0.6304347826086957,0.717391304347826,0.32608695652173914,0.7391304347826086,0.9565217391304348,0.9565217391304348,0.8478260869565217,0.7391304347826086,0.9565217391304348,0.6086956521739131,0.6521739130434783,0.30434782608695654,0.17391304347826086,0.6956521739130435,0.5652173913043478,0.6521739130434783,0.6956521739130435,0.4782608695652174,0.5217391304347826,0.08695652173913049,0.6956521739130435,0.5217391304347826,0.782608695652174,0.6521739130434783,0.5217391304347826,0.4782608695652174,0.7391304347826086,0.5217391304347826,0.782608695652174,0.6521739130434783,0.8695652173913043,0.717391304347826,0.5652173913043478,0.9130434782608695,0.30434782608695654,0.6956521739130435,0.43478260869565216,0.4782608695652174
8,P. Dahl,21,Eliteserien 2024,"LW, LWF, AMF",KFUM,Norway,1,1,0.34782608695652173,0.9130434782608695,0.9130434782608695,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.5869565217391305,0.5,0.2391304347826087,0.32608695652173914,0.043478260869565216,0.6956521739130435,0.043478260869565216,0.34782608695652173,0.34782608695652173,0.13043478260869565,0.13043478260869565,0.3913043478260869,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.08695652173913043,0.9565217391304348,0.2826086956521739,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.2608695652173913,0.5217391304347826,0.043478260869565216,0.9565217391304348,0.5217391304347826,0.6956521739130435,0.08695652173913043,0.5217391304347826,0.08695652173913043,0.6956521739130435,0.17391304347826086,0.13043478260869565,1,0.4782608695652174,0.21739130434782608,0.391304347826087,0.8695652173913043,0.2608695652173913
9,S. Tounekti,22,Eliteserien 2024,"LAMF, LW",Haugesund,Norway,0.5217391304347826,0.34782608695652173,0.9565217391304348,0.30434782608695654,0.6956521739130435,1,0.6956521739130435,0.5217391304347826,0.4782608695652174,0.32608695652173914,0.9130434782608695,0.32608695652173914,0.2608695652173913,1,0.6086956521739131,0.30434782608695654,0.21739130434782608,0.7608695652173914,0.17391304347826086,0.6956521739130435,0.19565217391304346,0.6956521739130435,0.17391304347826086,0.9130434782608695,0.7391304347826086,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.04347826086956519,0.5217391304347826,0.5217391304347826,0.6956521739130435,0.7391304347826086,0.5217391304347826,0.043478260869565216,0.6956521739130435,0.5217391304347826,1,0.7391304347826086,0.6086956521739131,0.32608695652173914,0.43478260869565216,1,0.6521739130434783,0.13043478260869565,0.30434782608695654,0.6521739130434783
